STUDYID,USUBJID,GROUP,SEX,MATRIX,ATPT,SAMPID,PARAMCD,AVAL,LLOQ,MATRIXCD,TISSUE,TISSUECD,DOSE,GROUP_f,DOSE_f,SEX_f,ATPT_f
XXXXXX,1001,1,1,"Brain, Amygdala",1008,471830021734,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA + IS,0,Male,Interim Necropsy Week 6
XXXXXX,1002,1,1,"Brain, Amygdala",1008,471830021774,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA + IS,0,Male,Interim Necropsy Week 6
XXXXXX,1501,1,2,"Brain, Amygdala",1008,471830021894,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA + IS,0,Female,Interim Necropsy Week 6
XXXXXX,1502,1,2,"Brain, Amygdala",1008,471830021934,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA + IS,0,Female,Interim Necropsy Week 6
XXXXXX,2001,2,1,"Brain, Amygdala",1008,471830021742,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA - IS,0,Male,Interim Necropsy Week 6
XXXXXX,2002,2,1,"Brain, Amygdala",1008,471830021782,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA - IS,0,Male,Interim Necropsy Week 6
XXXXXX,2501,2,2,"Brain, Amygdala",1008,471830021902,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA - IS,0,Female,Interim Necropsy Week 6
XXXXXX,2502,2,2,"Brain, Amygdala",1008,471830021942,VGC_MTH1,<LLOQ,NA,AMY,Brain,BR,0,VCA - IS,0,Female,Interim Necropsy Week 6
XXXXXX,3001,3,1,"Brain, Amygdala",1008,471830021094,VGC_MTH1,86099.002228034486,NA,AMY,Brain,BR,6,Low + IS,6e+13 vg/kg,Male,Interim Necropsy Week 6
XXXXXX,3002,3,1,"Brain, Amygdala",1008,471830021134,VGC_MTH1,495651.00309680891,NA,AMY,Brain,BR,6,Low + IS,6e+13 vg/kg,Male,Interim Necropsy Week 6
XXXXXX,3501,3,2,"Brain, Amygdala",1008,471830021254,VGC_MTH1,62666.137671097,NA,AMY,Brain,BR,6,Low + IS,6e+13 vg/kg,Female,Interim Necropsy Week 6
XXXXXX,3502,3,2,"Brain, Amygdala",1008,471830021294,VGC_MTH1,236183.85477018158,NA,AMY,Brain,BR,6,Low + IS,6e+13 vg/kg,Female,Interim Necropsy Week 6
XXXXXX,4001,4,1,"Brain, Amygdala",1008,471830022054,VGC_MTH1,699454.73066091444,NA,AMY,Brain,BR,20,Intermediate + IS,2.0e+14 vg/kg,Male,Interim Necropsy Week 6
XXXXXX,4002,4,1,"Brain, Amygdala",1008,471830022094,VGC_MTH1,187551.42667551426,NA,AMY,Brain,BR,20,Intermediate + IS,2.0e+14 vg/kg,Male,Interim Necropsy Week 6
XXXXXX,4501,4,2,"Brain, Amygdala",1008,471830022214,VGC_MTH1,748970.70932831441,NA,AMY,Brain,BR,20,Intermediate + IS,2.0e+14 vg/kg,Female,Interim Necropsy Week 6
XXXXXX,4502,4,2,"Brain, Amygdala",1008,471830022254,VGC_MTH1,483373.80605471914,NA,AMY,Brain,BR,20,Intermediate + IS,2.0e+14 vg/kg,Female,Interim Necropsy Week 6
XXXXXX,5001,5,1,"Brain, Amygdala",1008,471830022374,VGC_MTH1,90930.389407546783,NA,AMY,Brain,BR,20,Intermediate - IS,2.0e+14 vg/kg,Male,Interim Necropsy Week 6
